docno	tokens
FT943-12996	ft 21 jul 94 international company news german bank takes swiss firm christopher parkes bayerische vereinsbank take complete control bank von ernst old swiss firm specialising private business take 50 per cent creditanstalt verein vienna subject approval relevant authorities bank said yesterday bank von ernst balance sheet total sfr1 7bn dollars 1 2bn branches bern zurich geneva london employs 250 people representative bureaux frankfurt tokyo miami caracas bayerische vereinsbank said intended strengthen bank von ernst business institutional clients especially asset management capital markets business detailed terms disclosed although viennese partner deal take bayerische vereinsbank minority holdings two austrian banks since bayerische vereinsbank 1992 purchase schoellerbank given full coverage austrian market 4 7 per cent bank fur oberosterreich und salzburg similar stake bank fur tirol vorarlberg longer strategic importance bayerische vereinsbank said
FT943-12997	ft 21 jul 94 international company news portuguese bank turns 13 fall halfway peter wise banco portugues atlantico portugal second largest bank reported 13 3 per cent fall pre tax profits es9 26bn dollars 58m first half 1994 bpa said slide due mainly 31 7 per cent increase provisions credit risks es11 74bn result recession 1993 earnings also affected investments overseas subsidiaries uniao de bancos portugueses small retail bank bpa acquired controlling stake 1993 bpa said cash flow first half rose 10 6 per cent compared period last year es24 37bn total deposits increased 7 per cent es1 364 76bn group loan portfolio grew 1 6 per cent es811 46bn net assets rose 16 4 per cent es2 538bn bpa set aside es326m tax payments first half earnings tax provisions made first half 1993 state due sell remaining 24 39 per cent holding bpa date set group portuguese businessmen acquired controlling stake 27 per cent since privatisation bank began stages 1990 bpa increased capital es100bn es110bn rights issue closed july 1
FT943-12998	ft 21 jul 94 world news brief strike austerity million turks staged one day strike protest government economic austerity package
FT943-12999	ft 21 jul 94 world news brief hospital threatened argentinian hospital treating victims monday bomb jewish centre partly evacuated bomb threat briefcase found buenos aires hospital later detonated clear bomb picture page 3
FT943-13000	ft 21 jul 94 letters editor uk needs effective opposition petulant petty outbursts sir colin chandler sir mortimer foreign affairs brittan economics rogaly politics much need look elsewhere congratulations excellent team take issue joe rogaly whose recently expressed enthusiasm change government perhaps ahead almost certainly two perhaps three years go next general election emphasising need effective opposition party interim otherwise job left increasingly less objective sections media effective opposition party depends one person leader whole team one disappointed performance shadow cabinet members recently one example seemingly petulant petty outburst dr david clark shadow defence secretary government recent announcements agreed orders defence equipment company benefited contract 259 challenger 2 main battle tanks dr clark dismissed piece good news manufacturing industry old news dressed parliamentary occasion fact secretary state defence announced government intention purchase 259 challenger 2 tanks december 1 1993 without detracting announcement sure even mr malcolm rifkind would agree statements intent necessarily count much count army taxpayer company suppliers quantity tanks specification delivery dates price payment terms agreed 7 1 2 months remarkable commercial standards dr clark instead said decision good news industry taken long time ago would confidence 15 years opposition spent learning real world rather practising art empty slogans colin chandler chief executive vickers millbank tower millbank london sw1p 4ra
FT943-13001	ft 21 jul 94 letters editor good news product safety europe mr stephen crampton sir stephen sidkin nigel miller stay secure safety july 19 appear take dim view quality british manufacturing industry apparently regard requirements supply safe goods warn purchasers particular risks investigate complaints recall dangerous products costly onerous one share true european general product safety directive provides us welcome additional protection consumers although uk unlikely take powers directive sets also good news reputable uk manufacturers european competitors subject similar obligations set uk 1987 consumer protection act dangerous products cross frontiers legislation boost consumers fair competition single market stephen crampton secretary consumers europe group 24 tufton street london sw1
FT943-13002	ft 21 jul 94 letters editor unemployment factors also myth mr andrew sentance sir peter robinson personal view july 18 usefully dismisses myths surrounding current debate employment unemployment concludes perpetuating myth alleges decentralisation pay bargaining abolition incomes policy private sector responsible worsening inflation unemployment trade uk hence country currently high jobless total wrong conclusion draw experience 1980s secular rise uk unemployment mirrored european countries experience changes pay bargaining structure many centralised systems pay determination moreover european experience stands stark contrast us decentralised system pay bargaining unemployment followed rising trend apparent europe simple link pay bargaining systems unemployment experience across different countries key maintaining high level employment real wage flexibility unpleasant shocks reflected lower labour costs rather rising unemployment real wage flexibility achieved centralised pay bargaining systems corporatist economies eg germany scandinavia also feature decentralised system us conclusion drawn pay bargaining structures real wage flexibility overlapping centralised decentralised structures combine worst worlds embarked decentralised route britain best chance improving unemployment inflation trade would continue direction andrew sentance centre economic forecasting london business school sussex place regent park london nw1 4sa
FT943-13003	ft 21 jul 94 letters editor simplistic view rail situation dr chris rowley sir ft coverage railway signal workers dispute signal workers reach crucial turning point july 13 simplistic continues ignore rmt union little option pursue long standing grievances signal workers particularly workers union past railtrack forces cessation strikes may end grievances conflict signal boxes fewer larger hi tech signal boxes covering many miles track greatly enhance strategic power remaining signal workers future chris rowley lecturer human resource management cardiff business school aberconway building colum drive cardiff cf1 3eu
FT943-13004	ft 21 jul 94 letters editor costly dress ogilvie ward read dismay clement crisp pompous article arts decline fall elegance july 18 dressing covent garden would love dress go covent garden buy ticket attend royal opera house also english national opera regular basis able afford seat lower upper slips wish see new old operas office worker enough time meal performance leave promptly end catch late train home picnic stairs interval also keeps costs evening besides often long queues smoke filled bars circumstances prefer regular opera goer even means sitting cheap seat among real opera buffs go see seen ogilvie ward 77 topstreet way harpenden herts al5 5ty
FT943-13005	ft 21 jul 94 economic viewpoint wedge versus social wage samuel brittan theories causes cure unemployment arrive every post one way keep one head water examine together clusters ideas common core even though less justice individual variant cluster known long time growing popularity called wedge theory wedge gap employer pays wages worker takes home simplest form runs many add ons top wage bill pay social benefits labour become expensive employ non wage labour costs estimated house lords report1 amount 44 per cent total labour costs eu average 30 per cent uk japan 24 per cent us 28 per cent businesses understandably seek avoid add ons mechanisation labour saving drives macho management anthony de jasay2 put social protection costs worth least protects result margin employment taxed subsidy worth workers net extra burden economy enterprises restructure unemployment born social protection wedge theories familiar previously promulgated different political setting leaders harold wilson uk labour prime minister 1960s part 1970s wilson called wedge social wage used sell pay restraint arguing real wages much higher take home pay part workers remuneration took form welfare state benefits health education social security used notion campaign pay restraint one numerically sophisticated recent attempts stand wedge doctrine come us securities economist john mueller3 relates unemployment economists used call efficiency wages pay adjusted prices productivity shows plausible assumptions efficiency wages approximated labours share national income arrive latter subtracts gross pay taxes labour payroll levies share income tax adds domestic transfer payments mainly social security adjusted series throws light one paradox uk unemployment risen much last decade half combination labour market shakeout thatcherite policies pressed pay relative profits accompanying chart suggests although employees share national income fallen labour share making fiscal adjustments described actually 5 10 percentage points higher 1970s several points clarify always realised little difference apart presentation social security contributions levied employers levied employees passed forward cost labour instance main impact uk mainstream national insurance contributions derives total weight 20 per cent rather fact divided almost equally employers employees european countries high payroll contributions shift payroll taxes income taxes indirect taxes vat discussed would solve problem either income tax like payroll taxes almost proportional levy wages salaries alleviation bottom scale indirect taxes taxes proportion income 90 per cent spent workers market power make employers recoup higher pay burden payroll taxes also power recoup taxes levied directly incomes expenditure wedge theory originally advanced explanation unemployment warning distortions supply effort ambitious welfare state could impose seen earlier writings4 assar lindbeck swedish economist pioneered wedge theory sweden still full employment wedge may nonetheless affect employment three reasons workers value social wage much take home pay margin less inclined take jobs inclined work shorter hours unemployment kind surely voluntary union representatives fully take account social wage insist higher settlements otherwise would recoup tax wedge result workers priced jobs many factors immediate state labour market determine employers pay offers factors cover ideas fairness desire labour goodwill discourage employers trying recoup wedge lower pay respond cutting payrolls instead questions arise size wedge limited benefit expenditure de jasay includes welfare expenditure health education well benefits stop even surely taxes workers pay military expenditure public administration interest national debt much part wedge policy implications wedge theory many academics espouse suggest social security contributions actuarially related benefits words contributions finance dole related chance falling work particular occupation social security rates sufficient finance state pensions normal actuarial expectations circumstances argument goes payroll levies would defined benefits workers would prepared pay without recouping wages view plausible actuarial contributions also voluntary case social security system could hardly said exist moreover actuarial principle could realistically cover health education let alone non welfare spending whole focus non wage labour costs open suspicion appeals politicians looks less like union bashing british ministers also feel self satisfied burden costs less uk eu countries surely total labour costs per head determine whether worthwhile employ extra person include pay non pay elements latter escape measurement restrictions hours adjusting pay fully age experience skill things make workers expensive arbitrary pick one pricing work still best encompassing formula 1 house lords select committee european communities hl paper 43 april 19 1994 2 anthony de jasay vicious circle social kindness financial times april 29 1994 3 j mueller challenge conventional labour market wisdom lehrman ball mueller cannon 110 north glebe road suite 1060 arlington va 22201 4 assar lindbeck welfare state edward elgar 1993
FT943-13006	ft 21 jul 94 arts sensual promises wishful thinking cinema stephen amidon sirens 15 john duigan love human remains 18 denys arcand flintstones u brian levant snow white seven dwarfs u david hand girl 2 pg howard zieffsirens smug frothy ode bohemianism leaves wondering stuffy conservatism might bad way life set 1930s australia concerns young english vicar hugh grant asked try persuade rebellious artist norman lindsay sam neill remove allegedly blasphemous painting exhibition vicar travels painter remote studio accompanied new bride tara fitzgerald sort repressed englishwoman abroad become stock trade art house cinemas late buttoned couple discover neill leads seemingly amoral existence free thinking wife three dishy models pose naked racy idiosyncratic paintings vicar proves match naturalism wife soon lets hair aided steamy encounter brain damaged ranch hand looks like blind chippendale promise elle macpherson lead model turning hugh grant earthly pleasures film espouses creativity convention proved winning formula unfortunately film celebration artistic freedom self satisfied defeats every turn neill models piously cocksure lives come across fundamentalists utterly contemptuous anybody anything fit narrow sensual agenda grant fitzgerald meanwhile prove real human beings flawed yet likable characters willing listen grow love soon pity endure squad cultural onanists minutes ironic reversal intended would made fine comedy director john duigan takes bohos seriously littering film edenic imagery snakes apples references lost paradises indeed something brazenly two faced film lectures value artistic integrity shoving nude supermodel face every opportunity grant fitzgerald eventual conversion sensual life utterly unbelievable product wishful thinking director part anything intrinsic story sirens never pale imitation art love human remains looks like real thing french canadian director denys arcand first english language feature messy enthralling feel modern life centres david thomas gibson gay actor rooms candy ruth marshall depressive book reviewer secretly loves serving object frustrated affections lesbian schoolteacher married bartender david meanwhile divides time womanising best friend confused rich boy clairvoyant dominatrix arcand might reach dizzying mythic heights jesus montreal manage create film whose honesty disturbing part avoids emotional cliches facile resolutions charts interactions diverse group david believes live without love yet finds refusal causes pain everyone around candy wrongly thinks love several people equally gratuitous subplot involving serial killer arcand falters vision much strong need artificial bolstering flintstones curious cultural phenomenon film meaningful way rather dollars 30 million exercise problem solving part supremo steven spielberg crew filmmakers accurately reproduce classic hanna barbera cartoon using live actors real sets create world everything made leather rock dinosaurs people coexist every name paleolithic pun john goodman fred bring mind shambolic presence beloved generation couch potatoes special effects boffins fabricate credible dino measure dismal film even though answer questions yes still left tediously pointless 90 minutes good moments living garbage disposal soap opera called young thumbless nearly enough sustain project completely abandons adult irony middle america satire makes cartoon enjoyable filmmakers must hope dopey nostalgia impressed film dubious cartoon life alchemy forgive bothering entertain us maybe spielberg dinosaurs left jurassic park end flintstones moment prehistoric bird facing imminent extinction rues signed contract disney would never done quips true week reissue snow white seven dwarfs reminds us nice see examples animation created people believe art form still show interestingly disney classic schmaltzy film offer week distinction must go girl 2 missed original episode congratulations said least first instalment provided unalloyed pleasure watching macaulay culkin die horribly bee sting accident luck anna chlumsky 13 reprises role motherless girl heart gold part school project travels la research dead mother life discovering fact serial killer hooker kidding film distinction uncanny ability present world everyone including sergeant los angeles police department unfailingly nice good soundtrack though nigel andrews holiday
FT943-13007	ft 21 jul 94 arts peter brooke bows antony thorncroft everyone knew peter brooke lose job national heritage minister always good humoured laid back seemed even relaxed recent weeks dutifully attended arts functions heritage briefings broadcasting confrontations sports meetings litter life minister fun got job sudden crisis september 1992 david mellor prime minister friend main advocate new ministry forced government brooke chosen safe pair hands 58 harboured great ambitions done duty urbanity pragmatism leaves warm goodwill disparate band supplicants look heritage minister funds great achievements getting lottery running little fuss securing new charter bbc proceeded slowly safely broadcasting reforms proved friend media rushing draconian privacy act collector watercolours old fashioned gentleman quiet supporter heritage lobby cut arts council grant year first time ever argue fought corner axe wielding treasury skill things might worse total budget ministry increased quite achievement reformed council gently making accountable perhaps greatest long term contribution strengthen management appointing lord gowrie chairman names trevor nunn richard rogers members like predecessors brooke failed get grips british library juggernaut acts like leech budget got embroiled earlier commons heritage committee yesterday released scathing report also lacked imagination dealing powerful british film lobby uk still starves movie makers necessary financial incentives main blunders small emotive failed catch public mood fire destroyed part windsor castle unwisely pledged government money rebuilding somehow messed day commemoration john major looking excuse shed rousing ire strongest conservative lobby land provided peter brooke went expendable sensitive restrained bang promotional drum heritage ministry designed vote winner government spread powerful feel good atmosphere throughout land mellor personality lead parade went brooke grain might suit brooke successor stephen dorrell rather well politician make see heritage step ladder raise profile ministry keen demonstrate one government department sees job improving mental physical health people much new style politician peter brooke represented dying breed
FT943-13008	ft 21 jul 94 arts message lost double dutch recital david murray among things almeida festival brought us schoenberg quartet netherlands turn brought us two works eponym two recent dutch pieces one louis andriessen 1991 quartet facing death time de materie imposing success reported south bank meltdown festival went nothing much new report andriessen like movement de materie facing death title unexplained explores narrow vein relentless length jazzily syncopated tune innumerable variants simple counterpoint succeeded holding interest might second time even perhaps third around sell date may passed obsessive close focus treatment works better segment larger whole self standing piece least takes 20 hectic exhausting minutes though schoenberg quartet doughty players missed degree gleaming precision reinbert de leeuw got de materie bands occasional lapses pitch yet keen intelligent ensemble blunt sometimes non dutch ears anyhow even graceless attentively musical fully equal severe technical demands schoenberg ode napoleon byron gave us superbly lucid performance better almost heard gritty angry piece michael grandage delivered text grand byronic flair sepp grotenhuis excellent pianist ode sounded odder webern quintet version schoenberg evergreen chamber symphony 1 15 instruments certainly webern arrangement sets knotty problems balance even original grotenhuis really listened original learn standing event let subsidiary voices loom like kraken howl understating crucial ones like meeting work reversed negative weirdly fascinating already knew baffling though maybe exciting hesitate mention fourth work first quartet klaas de vries could make sense could describe elements complicated include deliberate faint echoes earlier quartets thought saying remained opaque perhaps dense dutch sub culture musical avant garderie taken different turns familiar elsewhere one know local history latest products may well impenetrable
FT943-13009	ft 21 jul 94 arts today television christopher dunkley since 1982 100m swatches sold worldwide today children fee paying schools likely collect swiss fashion accessory stamps business looks plastic phenomenon credited saving swiss watch industry considers plans swatchmobile city car 7 30 bbc2 last present series hypotheticals concerned euthanasia 8 00 bbc2 itv begins another new comedy series downwardly mobile poor happy rosemary frances de la tour clem find providing house room clem whiz kid brother insensitive wife sophie josie lawrence 8 30 modernising zoos probably comes pretty low list priorities ex communist east european states yet horrific pictures shown far state ark suggest humanity one aims new states perhaps better treatment animals confinement come quite high list today programme 9 30 bbc2 visits zoos romania armenia
FT943-13010	ft 21 jul 94 arts miracle worker theatre martin hoyle extraordinary play miracle worker standby provincial reps easy option tatty tours yet despite vague memories william gibson 1959 broadway success well tailored tear jerker piece works theatrically every time course plot fool proof true story infant helen keller blind deaf dumb reduced status imperfectly domesticated animal rescued living death inspired teacher annie sullivan half blind heart rendingly deprived background moment breakthrough towards end play wild speechless child makes connection finger language words pressed palm actual outside world tremendous theatre defy cynic unmoved scene passes flying colours production richard olivier comedy theatre even cast shrewd looking helen communication patently matter time annie whose cool confidence never really doubt juvenile memory serves london original annie anna massey whose gawky homely vulnerability marked potentially one life losers fight survive let alone sustain effort drag pupil world jenny seagrove fine boned delicate beautiful obvious heroine figure despite anguished haunted recollections little brother died workhouse catherine holman gives technically remarkable performance helen convulsive scenting strangers like animal switching tantrums pathetic demand comfort reassurance misses frighteningly feral quality actresses brought role need brought wolves wild helplessly indulgent parents well alabama 1880s trick well play funnier might expected humour centring blusteringly bewhiskered paterfamilias captain keller queasy hints meant lovable old softy wispy sub plot concerning tensions grown son steer dangerously near squelchy quicksands popnjunior plays william gaunt gives tough authority judi bowker mrs keller also rounded character understandably inclined indulge maimed child aspects production annie struggle tame bristling isolated pupil looks trifle contrived one long soundless physical scuffle elaborately choreographed western saloon bar brawl message emerges clearly annie sullivan enough transform untamed creature clean napkin wielding household pet helen made aware hungry richness life normal person acting production play come comedy theatre
FT943-13011	ft 21 jul 94 people sabberwal helps take brakes n motor components materials group yesterday announced appointment amar sabberwal chief executive company friction products division board japan brake international japanese vehicle parts business sabberwal 60 expected strengthen existing links n jbi 1990 formed joint venture company ferodo automotive products nashville tennessee supply brake pads linings japanese car plants north america indigenous us manufacturers although sabberwal remain charge frictions business colin hope n chairman chief executive says position jbi would enhance association helped n meet japanese customers needs led n first choice supplier japanese plants europe us move marks latest series promotions sabberwal named executive director 1989 serving board tn technology n central research development facility managing director bip chemicals managing director n materials research also non executive director university salford holdings
FT943-13012	ft 21 jul 94 people virgin directors take flight three virgin atlantic airways directors leaving group result reorganisation senior management six person supervisory board created reporting executive chairman richard branson streamlined structure devised consultation 40 middle managers intended improve effectiveness efficiency airline senior management give 10 year old company better structure compete next century replaces system comprising two joint managing directors reporting branson ten directors result syd pennington one joint mds left airline discussions possible role within virgin group joint md roy gardner become chief executive new company virgin atlantic engineering meet airline engineering needs also seek external customers sales director rohan alce engineering director dick plowes personnel director nick potts also left leaving responsibilities handled new slimmed board whose members internally recruited new supervisory board giving directors staff greater responsibility areas manage putting place right teams right jobs branson said
FT943-13013	ft 21 jul 94 people ideal standard roger cooper formerly sales marketing director appointed md ideal standard uk subsidiary american standard corp succeeds norman bennett becomes chairman retires end year
FT943-13014	ft 21 jul 94 people ici david searles director zeneca specialties former finance director tioxide appointed group treasurer ici fred gray ici deputy group treasurer appointed financial director tioxide
FT943-13015	ft 21 jul 94 people oferrall vincent slevin md oferrall communications chairman oferrall ireland also appointed md oferrall adshel resignation richard pears
FT943-13016	ft 21 jul 94 people johnston press edward wood md halifax courier holdings appointed parent board johnston press
FT943-13017	ft 21 jul 94 people london transport buses alan brindle formerly acting head london transport former tendered bus division michael ensor formerly director purchasing logistics nhs supplies authority appointed directors london transport buses
FT943-13018	ft 21 jul 94 people hoare govett hoare govett uk stockbroker belongs abn amro dutch bank hired ishbel macpherson 30 something director corporate finance bzw shake smaller company corporate finance activities hoare senior management need worry much latest recruit swanning maternity leave drop hat interview independent four years ago macpherson affectionately described children repellent little buggers would loath sacrifice career city hoare presumably hope macpherson shows little gentleness towards entrepreneurs seeking ways make fledgling companies grow gareth jones abbey national group treasurer assumed control european operations charles toner md retail tony stradmoor formerly general manager kobayashi co appointed director martin bierbaum another trio holdings subsidiary jonathan lubran formerly chief executive bankers trust investment management appointed md foreign colonial institutional marketing division fred packard chairman foreign colonial emerging markets appointed f c management board gordon mckechnie appointed director project advisory natwest markets moves jp morgan edward bonham carter formerly director electra kingsway appointed director jupiter tyndall merlin john brakell founder director granville private equity managers appointed board granville holdings
